"id","parent","type","name","current_maturity","target_maturity"
"CSF_RS.AN","CSF_RS","category","RS.AN: Incident Analysis","2","3"
"CSF_RS.AN-03","CSF_RS.AN","subcategory","RS.AN-03: Analysis is performed to determine what has taken place during an incident and the root cause of the incident","2","3"
"CSF_RS.AN-06","CSF_RS.AN","subcategory","RS.AN-06: Actions performed during an investigation are recorded and the records' integrity and provenance are preserved","2","3"
"CSF_RS.AN-07","CSF_RS.AN","subcategory","RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved","2","3"
"CSF_RS.AN-08","CSF_RS.AN","subcategory","RS.AN-08: The incident's magnitude is estimated and validated","2","3"
"CSF_RS.CO","CSF_RS","category","RS.CO: Incident Response Reporting and Communication","2","3"
"CSF_RS.CO-02","CSF_RS.CO","subcategory","RS.CO-02: Internal and external stakeholders are notified of incidents","2","3"
"CSF_RS.CO-03","CSF_RS.CO","subcategory","RS.CO-03: Information is shared with designated internal and external stakeholders","2","3"
"CSF_RS.MA","CSF_RS","category","RS.MA: Incident Management","2","3"
"CSF_RS.MA-01","CSF_RS.MA","subcategory","RS.MA-01: The incident response plan is executed once an incident is declared in coordination with relevant third parties","2","3"
"CSF_RS.MA-02","CSF_RS.MA","subcategory","RS.MA-02: Incident reports are triaged and validated","2","3"
"CSF_RS.MA-03","CSF_RS.MA","subcategory","RS.MA-03: Incidents are categorized and prioritized","2","3"
"CSF_RS.MA-04","CSF_RS.MA","subcategory","RS.MA-04: Incidents are escalated or elevated as needed","2","3"
"CSF_RS.MA-05","CSF_RS.MA","subcategory","RS.MA-05: The criteria for initiating incident recovery are applied","2","3"
"CSF_RS.MI","CSF_RS","category","RS.MI: Incident Mitigation","2","3"
"CSF_RS.MI-01","CSF_RS.MI","subcategory","RS.MI-01: Incidents are contained","2","3"
"CSF_RS.MI-02","CSF_RS.MI","subcategory","RS.MI-02: Incidents are eradicated","2","3"
